,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
11694,4201.01,CAND,3.5809733,2.18,36850.0,12.0428,702.0,3790.0,4.64,0.61,90.474724,-13.461371,TBD,
11696,4205.01,CAND,5.9056572,4.314,10720.0,11.5383,1332.0,5076.0,4.4,0.97,101.297015,-1.96049,TBD,
11697,4206.01,CAND,2.4170503,3.246,7730.0,13.975,1685.0,5796.8,4.07,1.56,98.984253,4.713477,TBD,
11698,4209.01,CAND,0.8631737,1.227,6330.0,12.7525,1863.0,6142.0,4.17,1.47,86.682021,3.98974,TBD,
11699,4210.01,CAND,1.0754208,1.01,4950.0,9.41227,1212.0,4614.0,4.16,1.17,109.772452,-14.970588,TBD,
11700,4214.01,CAND,3.491383,2.999,4650.0,11.154,1352.0,5936.5,4.28,1.59,110.24951,-13.926265,TBD,
11701,4215.01,CAND,1.0994412,1.394,3860.0,11.0223,2029.0,6915.0,4.19,1.63,113.836327,-11.001601,TBD,
11702,4217.01,CAND,1.1866441,2.625,7480.0,10.6653,2532.0,6325.0,4.41,1.16,112.729853,-28.684266,TBD,
11703,4218.01,CAND,2.6269521,3.503,12010.0,17.6062,1979.0,6976.0,4.22,1.58,118.791369,-22.611009,TBD,
11704,422.01,CAND,0.6333372,0.6217089,1063.780003,4.4957089,2513.555923,5999.0,4.22,1.34655,71.802796,-17.253367,TBD,
11705,4223.01,CAND,7.2654708,3.568,13930.0,13.0064,1022.0,5944.0,4.43,1.05,104.807393,-37.45202,TBD,
11706,4224.01,CAND,1.161347,2.471,4320.0,10.7619,2501.0,6289.0,4.11,1.62,114.747907,-30.575281,TBD,
11707,4227.01,CAND,3.4169475,2.454,6880.0,13.7893,1435.0,6610.0,4.16,1.63,107.709537,-20.055305,TBD,
11708,4228.01,CAND,6.0154139,5.144,9180.0,15.7735,1386.0,5932.0,4.07,1.59,114.566022,-23.804576,TBD,
11710,4233.01,CAND,1.820443,2.643,7330.0,16.6319,1898.0,6079.0,3.92,1.94,113.266602,-30.104096,TBD,
11711,4234.01,CAND,0.908232,2.28,5020.0,8.54322,2617.0,6481.0,4.38,1.23,106.355066,-21.109526,TBD,
11712,4235.01,CAND,1.6562803,0.929,5610.0,9.54495,1151.0,6044.0,4.29,1.25,106.633113,-38.054496,TBD,
11713,4236.01,CAND,0.4021282,0.804,2430.0,18.3131,3185.0,6115.0,3.72,2.45,149.853813,-45.449353,TBD,
11714,4238.01,CAND,1.2732245,1.634,23100.0,13.8628,1599.0,4973.0,4.49,0.85,141.395946,-33.229454,TBD,
11715,4239.01,CAND,2.8132443,3.717,5310.0,13.996,1927.0,6614.0,4.05,1.85,148.56571,-25.093582,TBD,
11716,4240.01,CAND,10.1238604,2.239,7090.0,15.7944,831.0,6531.0,4.05,1.81,139.661657,-32.748719,TBD,
11717,4242.01,CAND,3.0579913,2.905,7420.0,14.1536,1439.0,5967.0,4.07,1.59,113.17513,-51.998148,TBD,
11719,4245.01,CAND,3.1530578,1.727,3900.0,5.32131,1074.0,5093.0,4.52,0.8,125.806237,-45.792458,TBD,
11720,4246.01,CAND,12.8860009,4.866,11770.0,12.1436,924.0,6126.0,4.41,1.11,111.111271,-51.697365,TBD,
11721,4247.01,CAND,4.3537052,3.237,32400.0,19.599,1220.0,5883.0,4.39,1.1,123.912362,-50.620853,TBD,
11722,4248.01,CAND,5.1442317,5.856,4310.0,13.8382,1790.0,5936.0,4.18,2.09,134.433236,-38.371148,TBD,
11726,4254.01,CAND,1.1462769,2.394,3620.0,12.8874,2510.0,6416.0,3.9,2.12,128.927489,-53.82826,TBD,
11729,426.01,CAND,1.3205037,2.0155519,469.4537481,2.1611735,1632.161735,5731.0,4.46,0.98926,79.102193,-15.510242,TBD,
11730,4262.01,CAND,5.9977892,4.322,7750.0,11.3071,1394.0,6613.0,4.36,1.29,126.335415,-47.043046,TBD,
11731,4263.01,CAND,0.8338716,1.62,4020.0,8.75677,2193.0,6071.0,4.2,1.39,148.08664,-34.95789,TBD,
11732,4265.01,CAND,3.7353995,1.836,2360.0,8.61993,1085.0,5895.0,4.1,1.53,128.701521,-56.331828,TBD,
11733,4267.01,CAND,1.2125518,1.345,5570.0,11.5507,1812.0,6719.0,4.25,1.48,166.070243,-49.821498,TBD,
11734,427.01,CAND,0.6090253,1.099,6100.0,15.1945,2635.0,5271.7,4.34,1.02,64.657083,-17.419833,TBD,
11735,4270.01,CAND,3.4671474,2.405,4770.0,11.6401,1239.0,5886.0,4.07,1.58,168.563889,-37.910133,TBD,
11736,4272.01,CAND,2.7302636,2.645,9410.0,13.7961,1544.0,6307.0,4.25,1.39,159.97958,-43.770389,TBD,
11739,4277.01,CAND,3.2738129,3.306,13200.0,14.6729,1475.0,5976.0,4.27,1.27,295.351296,-76.219867,TBD,
11740,4278.01,CAND,1.7519943,1.624,4360.0,9.23623,1355.0,5483.0,4.14,1.39,302.868371,-64.346282,TBD,
11742,428.01,CAND,0.6333315,0.404,320.0,6.24344,1284.0,5713.0,3.67,2.35,71.809927,-17.248613,TBD,
11743,4280.01,CAND,3.518972,3.21,13820.0,13.7987,1407.0,5972.0,4.35,1.16,304.700911,-58.687351,TBD,
11744,4282.01,CAND,13.5098037,2.695,24500.0,16.3981,730.0,5780.0,4.51,0.94,301.999038,-70.615591,TBD,
11745,4283.01,CAND,3.0130918,2.343,14150.0,17.5256,1681.0,6838.0,4.32,1.4,276.828678,-77.131653,TBD,
11746,4284.01,CAND,3.5008785,4.719,5110.0,13.2886,1766.0,5759.0,4.3,1.81,345.719245,-80.13947,TBD,
11747,4285.01,CAND,1.170544,1.377,4890.0,9.32657,1771.0,6328.0,4.36,1.23,250.890747,-75.988414,TBD,
11748,4286.01,CAND,1.0268508,2.172,1430.0,3.2806,1925.0,4938.0,4.49,0.85,107.523368,-55.856558,TBD,
11749,4287.01,CAND,4.2340008,2.658,5590.0,14.8194,1444.0,6387.0,4.0,1.86,234.853397,-85.473742,TBD,
11750,4288.01,CAND,6.0597024,1.207,7750.0,7.95469,557.0,5036.0,4.54,0.82,100.198832,-56.546373,TBD,
11751,4289.01,CAND,2.9757432,4.473,6980.0,18.7957,1850.0,6025.0,3.81,2.18,121.188359,-82.065763,TBD,
11752,4290.01,CAND,1.1771655,1.037,1110.0,3.09637,1548.0,5313.0,4.59,0.8,109.815227,-80.473777,TBD,
11753,4291.01,CAND,12.1525744,5.033,5140.0,9.22353,997.0,6029.0,4.27,1.28,290.530405,-83.233448,TBD,
11754,4292.01,CAND,1.7203479,2.607,7490.0,9.79651,1818.0,5878.0,4.36,1.13,266.633808,-70.409811,TBD,
11755,4293.01,CAND,1.6242109,2.273,17740.0,14.9916,1632.0,5705.0,4.39,1.06,302.978454,-49.001569,TBD,
11756,4295.01,CAND,11.3927251,4.397,7770.0,10.0164,810.0,5217.0,4.28,1.14,4.632474,-84.360009,TBD,
11757,4296.01,CAND,19.9706574,1.8801996,1037.379906,3.1454612,567.2769582,4985.0,4.45,0.899081,33.449996,-27.867678,TBD,
