,PlanetName,HostName,PlanetLetter,NumberOfStars,NumberOfPlanets,NumberOfMoons,DiscoveryYear,OrbitalPeriod,OrbitSemiMajorAxis,PlanetEarthRadius,PlanetJupiterRadius,PlanetEarthMass,PlanetJupiterMass,PlanetProvenance,PlanetDensity,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarRadius,StellarMass,StellarMetallicity,StellarMetallicityRatio,StellarLuminosity,StellarSurfaceGravity,StellarAge,StellarDensity,RA[sexagesimal],RA[deg],Dec[sexagesimal],Dec[deg],GalacticLatitude,GalacticLongitude,EclipticLatitude,EclipticLongitude,TotalProperMotion,ProperMotion(RA),ProperMotion(Dec),Distance,Parallax
2702,Kepler-965 b,Kepler-965,b,1,1,0,2016,134.2527298,0.512,3.38,0.302,11.4,0.0357,M-R relationship,1.62,393.0,5886.0,1.15,1.05,0.03,[Fe/H],0.148,4.33,5.5,1.64351,19h54m03.68s,298.5153169,+41d53m28.43s,41.8912305,7.22017,76.66856,60.78675,316.73093,6.928403,-0.403559,6.91664,582.828,1.6871
2703,Kepler-966 b,Kepler-966,b,1,1,0,2016,99.747622,0.3907,4.13,0.368,16.0,0.0502,M-R relationship,1.25,391.0,5840.0,1.02,1.02,0.04,[Fe/H],0.233,4.43,4.07,0.65013,19h49m04.94s,297.270576,+50d07m18.61s,50.1218365,11.99998,83.5226,68.55601,323.47119,5.2554737,-3.39689,4.01013,1027.8,0.944376
2704,Kepler-967 b,Kepler-967,b,1,2,0,2016,13.22713379,0.1027,2.35,0.21,6.12,0.0193,M-R relationship,2.59,638.0,5178.0,0.8,0.84,-0.03,[Fe/H],-0.718,4.56,5.89,3.39073,19h06m13.92s,286.5580128,+38d24m18.87s,38.4052418,13.78488,69.30269,60.31303,296.80304,25.5161829,-13.064,-21.9182,568.546,2.6868816
2705,Kepler-967 c,Kepler-967,c,1,2,0,2016,198.7112502,0.6253,3.65,0.326,12.9,0.0407,M-R relationship,1.46,258.0,5178.0,0.8,0.84,-0.03,[Fe/H],-0.718,4.56,5.89,2.92892,19h06m13.92s,286.5580128,+38d24m18.87s,38.4052418,13.78488,69.30269,60.31303,296.80304,25.5161829,-13.064,-21.9182,568.546,2.6868816
2706,Kepler-968 b,Kepler-968,b,1,3,0,2016,3.69298373,0.0389,2.0,0.178,4.66,0.0147,M-R relationship,3.2,745.0,4598.0,0.7,0.76,0.13,[Fe/H],-0.763,4.63,2.14,6.11686,19h02m24.62s,285.6025889,+50d06m43.34s,50.1120401,18.81793,80.34362,71.74536,303.41101,5.1564455,-4.75029,2.00591,290.324,3.41557
2707,Kepler-968 c,Kepler-968,c,1,3,0,2016,5.70940492,0.052,1.69,0.151,3.5,0.011,M-R relationship,3.98,644.0,4598.0,0.7,0.76,0.13,[Fe/H],-0.763,4.63,2.14,12.30954,19h02m24.62s,285.6025889,+50d06m43.34s,50.1120401,18.81793,80.34362,71.74536,303.41101,5.1564455,-4.75029,2.00591,290.324,3.41557
2708,Kepler-969 b,Kepler-969,b,1,2,0,2016,34.1731714,0.2027,2.07,0.185,4.94,0.0155,M-R relationship,3.06,465.0,5214.0,0.82,0.92,0.22,[Fe/H],-0.389,4.57,1.51,3.24214,19h13m29.40s,288.3724989,+47d56m00.83s,47.9335642,16.33314,78.90961,69.0724,306.24375,2.3957783,1.90249,1.45612,390.354,2.53294
2709,Kepler-969 c,Kepler-969,c,1,2,0,2016,1.6829346,0.0272,0.99,0.088,0.937,0.00295,M-R relationship,5.31,1270.0,5214.0,0.82,0.92,0.22,[Fe/H],-0.389,4.57,1.51,1.59429,19h13m29.40s,288.3724989,+47d56m00.83s,47.9335642,16.33314,78.90961,69.0724,306.24375,2.3957783,1.90249,1.45612,390.354,2.53294
2710,Kepler-97 b,Kepler-97,b,1,2,0,2014,2.58664,0.0356,1.48,0.132,3.51,0.011,Mass,5.44,1328.0,5779.0,0.98,0.94,-0.2,[Fe/H],-0.025,4.43,8.42,1.53,19h09m18.37s,287.3265292,+48d40m24.04s,48.6733443,17.25653,79.35114,70.00841,305.11634,24.8251571,-13.1728,-21.042,400.907,2.46563
2711,Kepler-970 b,Kepler-970,b,2,1,0,2016,16.73652231,0.1107,2.77,0.247,8.1,0.0255,M-R relationship,2.09,464.0,4511.0,0.67,0.7,-0.08,[Fe/H],-0.821,4.64,4.68,4.61175,19h18m30.05s,289.6252192,+40d42m31.45s,40.7087351,12.58685,72.46181,61.93417,302.76124,3.2455154,-2.74776,1.72719,331.545,2.98745
