ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
K00472.01,CFRM,4.243748097,3.3603,1409.7,3.16,1063,301.46,5873,4.554,0.843,283.61795,47.196678,Neptune-like,Kepler-565 b
K00415.01,CAND,166.7876551,5.8676,4764.2,7.03,334,2.93,5663,4.377,1.031,293.30606,41.606369,TBD,N/A
K04896.02,CAND,49.537365,9.862,201.7,1.48,532,18.87,6118,4.416,1.023,290.90042,48.74614,TBD,N/A
K00474.03,CAND,94.886902,6.923,641.7,4.24,429,7.99,5888,4.342,1.097,287.78085,47.62991,TBD,N/A
K04838.03,CAND,24.0721647,3.171,177.3,1.1,400,6.08,4352,4.671,0.613,284.26859,44.19754,TBD,N/A
K00417.01,CAND,19.19310355,2.5425,6807.3,12.23,656,43.77,5883,4.53,0.892,296.24954,42.33548,TBD,N/A
K05007.02,CAND,80.881757,12.568,142.7,2.27,581,26.91,5934,3.945,1.885,294.36734,38.846889,TBD,N/A
K00080.01,CAND,9.250572762,3.6373,1039.5,96.08,1966,3530.57,8133,3.715,3.294,300.53757,46.10434,TBD,N/A
K00728.01,CAND,7.189379172,2.0351,8126.4,11.94,1026,261.94,6214,4.442,1.076,296.6423,47.230331,TBD,N/A
K07628.01,CAND,1.8134378,7.776,97.4,0.69,1158,423.67,5094,4.618,0.7,290.71725,37.64901,TBD,N/A
K00682.01,CAND,562.1725914,9.8841,5877.8,10.9,241,0.8,5589,4.229,1.289,295.198,43.269508,TBD,N/A
K00683.01,CAND,278.1243979,3.978,2297.8,5.86,286,1.57,5799,4.408,1.05,297.82431,43.258381,TBD,N/A
K00684.01,CAND,4.034914368,1.7874,800.1,6.95,1452,1052.15,5548,3.964,1.793,281.29028,43.413342,TBD,N/A
K00686.01,CAND,52.51354873,3.2743,14252,12.43,472,11.73,5589,4.421,0.98,296.84076,43.647121,TBD,N/A
K00687.01,CAND,4.17838675,2.123,316,3.13,1430,988.44,5746,4.039,1.687,297.11713,43.71143,TBD,N/A
K07630.01,CAND,16.2982201,2.558,199,0.78,388,5.38,3905,4.736,0.521,291.4549,37.67712,TBD,N/A
K00099.01,CAND,2190.701035,19.891,1874.2,3.12,109,0.03,4965,4.555,0.736,295.43433,44.53112,TBD,N/A
K00732.02,CAND,3.29534567,1.902,141.9,1.23,1139,397.37,5550,4.5,0.954,288.32791,47.381592,TBD,N/A
K00732.03,CAND,5.25449393,3.078,169,1.41,975,213.25,5550,4.5,0.954,288.32791,47.381592,TBD,N/A
K00640.01,CFRM,30.99664113,2.9182,655.3,2.43,500,14.72,5324,4.544,0.853,297.25262,40.288601,Neptune-like,Kepler-632 b
K00548.02,CAND,6.0799457,2.706,55.1,0.86,1101,348.11,6008,4.35,1.168,289.50067,51.68573,TBD,N/A
K00734.02,CAND,70.2780911,2.466,781.6,2.54,434,8.38,5955,4.52,0.91,291.1973,47.3078,TBD,N/A
K00100.01,CAND,9.9664004,5.0127,1619,16.89,1578,1466.1,6638,3.664,3.079,291.17792,39.19949,TBD,N/A
K00641.01,CAND,14.85185526,3.5263,1341,2.73,457,10.3,4129,4.636,0.652,299.29947,40.235069,TBD,N/A
K07378.02,CAND,56.391062,5.7,2042,3.58,310,2.18,4406,4.643,0.628,282.37042,48.259289,TBD,N/A
K00735.01,CAND,22.34213536,6.461,2264.4,5.19,526,18.14,5237,4.568,0.707,296.69336,47.392151,TBD,N/A
K00645.01,CFRM,8.50339249,2.9569,188.9,1.95,1021,257.22,5877,4.233,1.265,295.21744,40.592251,Super Earth,Kepler-633 b
K00645.02,CFRM,23.7832097,7.939,256.5,2.01,725,65.26,5877,4.233,1.265,295.21744,40.592251,Neptune-like,Kepler-633 c
K00648.01,CAND,10.47490332,33.7939,1170.2,15.45,1567,1427.2,6526,3.616,3.232,282.72067,40.899181,TBD,N/A
K04388.02,CAND,61.858947,21.32,70.8,2.47,699,56.48,5529,3.685,2.817,292.13428,46.202419,TBD,N/A
K00102.01,CAND,1.73513619,2.2741,952.6,3.27,1554,1372.87,5751,4.391,1.071,299.70474,44.435749,TBD,N/A
K00652.01,CFRM,16.08065726,2.8701,3076,4.43,614,33.64,5303,4.547,0.817,293.59189,41.095161,Neptune-like,Kepler-636 b
K00701.01,CFRM,18.16407304,2.9355,943.2,1.98,508,15.72,4926,4.653,0.662,283.21274,45.349861,Neptune-like,Kepler-62 d
K00701.02,CFRM,5.71489692,2.3572,425.9,1.33,747,73.38,4926,4.653,0.662,283.21274,45.349861,Super Earth,Kepler-62 b
K00701.03,CFRM,122.3858681,7.123,711.1,1.72,269,1.24,4926,4.653,0.662,283.21274,45.349861,Super Earth,Kepler-62 e
K00102.02,CAND,4.06844957,2.8349,79.8,0.98,1170,442.08,5751,4.391,1.071,299.70474,44.435749,TBD,N/A
K04577.02,CAND,3.07365139,2.102,90.5,0.79,1215,515.92,6068,4.565,0.831,295.6709,47.830399,TBD,N/A
K07621.01,CAND,275.07365,3.37,228.9,1.86,303,2,5604,4.226,1.187,291.03369,36.771042,TBD,N/A
K04622.02,CAND,4.50158249,1.855,175.7,0.73,676,49.21,4339,4.711,0.553,284.56689,49.01255,TBD,N/A
K00605.02,CAND,5.06546874,2.203,121.1,0.62,592,29.01,3939,4.705,0.557,290.92731,39.91415,TBD,N/A
K00607.01,CAND,5.89399142,1.2737,10993,11.16,940,185.03,5713,4.541,0.893,289.80908,40.615841,TBD,N/A
K04692.02,CAND,7.6720844,3.451,75.1,0.72,875,138.74,5972,4.57,0.807,290.44476,48.462891,TBD,N/A
K00611.01,CAND,3.251659087,1.5286,4747.9,9.83,1384,865.87,6367,4.419,1.087,298.29404,41.6838,TBD,N/A
K00094.04,CFRM,3.743166733,3.6888,126.3,1.5,1423,971.76,6181,4.234,1.331,297.33307,41.891121,Unknown,Kepler-89 b
K04700.02,CAND,66.47762,4.487,553.5,1.83,388,5.34,5515,4.592,0.775,295.36145,45.914841,TBD,N/A
K00716.01,CAND,26.89316101,2.3266,2193.2,6.78,614,33.54,6096,4.511,0.908,297.49216,46.694519,TBD,N/A
K07636.01,CAND,0.702739679,1.379,65.1,0.73,1765,2292.96,5269,4.508,0.836,286.89841,37.93745,TBD,N/A
K00621.01,CAND,17.76199841,2.4644,24177,14.25,538,19.78,5088,4.612,0.669,287.46097,50.975071,TBD,N/A
K00622.01,CAND,155.042265,9.848,4880.9,26.44,511,16.15,4994,3.509,3.322,295.88028,51.26379,TBD,N/A
K07638.01,CAND,25.0032023,5.498,64.1,1.47,837,116.27,6148,4.055,1.685,286.70145,38.042191,TBD,N/A
K07634.01,CAND,80.84069,8.567,9326,15.11,500,14.83,5511,4.069,1.597,290.22925,37.840961,TBD,N/A
K00098.01,CFRM,6.790120801,6.0437,2302.3,9.86,1434,998.97,6372,3.954,2.001,287.70883,47.33305,Gas Giant,Kepler-14 b
K07635.01,CAND,60.458443,8.43,175.2,1.59,511,16.14,5865,4.297,1.181,291.78079,37.811508,TBD,N/A
K00626.02,CAND,8.0292018,3.462,65.6,0.99,1040,276.27,6063,4.29,1.191,295.19339,39.539669,TBD,N/A
K04066.01,CFRM,126.55719,8.079,366.4,4.59,524,17.85,6501,4.054,1.854,290.73001,44.836121,Neptune-like,Kepler-1936 b
K04136.01,CAND,2.41750021,4.33,58.2,1.19,1507,1221.36,5575,4.189,1.308,281.82318,42.811169,TBD,N/A
K04136.02,CAND,4.03357434,5.886,66.2,1.23,1270,616.04,5575,4.189,1.308,281.82318,42.811169,TBD,N/A
K02220.04,CAND,7.66462913,3.614,114.1,1.6,1106,353.31,5640,4.087,1.515,294.13791,42.370499,TBD,N/A
K04067.01,CFRM,9.6887216,2,655.5,3.09,1014,250.25,6457,4.358,1.196,290.65839,40.778542,Neptune-like,Kepler-1937 b
K04069.01,CFRM,13.06243545,3.244,464.3,1.36,527,18.25,4522,4.615,0.655,299.3519,41.19574,Super Earth,Kepler-1938 b
K04144.01,CAND,0.487656278,1.0129,109.8,0.99,2299,6647.8,5957,4.506,0.937,290.33719,38.205009,TBD,N/A
K04145.01,CAND,3.25424652,5.378,82.1,0.96,1220,521.81,5692,4.421,1.004,287.75903,38.281551,TBD,N/A
K02220.05,CAND,11.9294568,3.193,132.3,1.05,797,95.42,5975,4.48,0.9,294.13791,42.370499,TBD,N/A
K04149.01,CAND,9.54699216,5.063,143,1.71,996,232.24,6274,4.357,1.232,296.9621,48.25639,TBD,N/A
K04149.02,CAND,14.708641,5.394,130.6,1.82,862,130.5,6274,4.357,1.232,296.9621,48.25639,TBD,N/A
K04150.01,CFRM,31.3351094,6.071,264.9,1.99,666,46.53,6404,4.393,1.142,296.62704,49.353901,Neptune-like,Kepler-1941 b
K04156.01,CFRM,4.85018974,5.676,64.5,1.1,1098,344.04,6032,4.485,0.973,293.31827,41.116669,Super Earth,Kepler-1943 b
K04157.01,CAND,3.82315697,2.388,47.2,0.77,1282,638.38,6202,4.422,1.122,287.41006,39.65868,TBD,N/A
K00255.02,CAND,13.6032081,2.592,180.5,0.75,397,5.85,3780,4.746,0.511,287.85812,42.542629,TBD,N/A
K04166.01,CFRM,9.84262076,1.6018,626.4,2.41,801,97.62,5585,4.49,0.972,296.5105,39.173321,Neptune-like,Kepler-1944 b
K04021.01,CAND,7.23531329,3.338,112.2,1.53,1207,501.36,6422,4.219,1.421,294.03436,50.371651,TBD,N/A
K04152.01,CAND,64.1862264,8.485,507.3,8,839,116.97,6951,3.766,2.758,291.38602,42.709129,TBD,N/A
K04153.01,CFRM,4.62602867,0.643,346.9,1.65,1012,247.34,5834,4.566,0.797,294.98059,44.425301,Neptune-like,Kepler-1942 b
K02303.02,CAND,8.93484887,2.579,135.9,1.83,1124,377.25,6688,4.304,1.347,289.74731,39.523453,TBD,N/A
K04021.02,CAND,4.93211932,3.144,50.5,1.02,1372,837.01,6422,4.219,1.421,294.03436,50.371651,TBD,N/A
K04022.01,CAND,4.85819429,5.356,76.3,2.04,1685,1904.91,6109,3.78,2.326,283.12854,43.45686,TBD,N/A
K07644.01,CAND,3.39904814,2.922,69.6,0.81,1191,477.15,5766,4.444,0.929,289.84286,38.237049,TBD,N/A
K02250.02,CAND,0.626281766,1.1812,433.1,1.76,1711,2011.27,4922,4.505,0.823,285.21667,41.282429,TBD,N/A
K07648.01,CAND,1.183505016,1.275,116.6,0.8,1293,658.87,4832,4.592,0.746,290.6864,38.355598,TBD,N/A
K04097.01,CFRM,2.790643481,0.6871,202,0.99,816,104.74,4353,4.681,0.603,285.69,40.99453,Super Earth,Kepler-1939 b
K02357.02,CAND,15.9042402,2.093,444.8,3.79,863,131.11,5583,4.077,1.53,293.20377,43.057011,TBD,N/A
K02193.02,CAND,4.16288745,0.678,391.7,1.32,763,80.23,4478,4.615,0.651,284.10779,44.245811,TBD,N/A
K04097.02,CAND,4.44902309,1.373,88.9,0.55,699,56.19,4353,4.681,0.603,285.69,40.99453,TBD,N/A
K04098.01,CAND,1.121733366,1.032,84.3,2.39,2384,7641.15,5023,3.682,2.571,287.50375,44.167259,TBD,N/A
K04099.01,CFRM,4.95060632,1.719,309.5,1.28,885,145.23,5431,4.623,0.717,291.20419,45.238392,Super Earth,Kepler-1940 b
K07641.01,CAND,3.79437277,2.289,83.2,1.36,1383,865.53,5455,4.025,1.507,290.32401,38.111111,TBD,N/A
K04105.01,CAND,363.41165,14.79,961.7,3.14,263,1.12,6025,4.472,0.999,293.53253,43.406151,TBD,N/A
K02257.02,CAND,59.284064,5.42,424.4,1.81,401,6.14,5225,4.505,0.859,283.29214,45.434109,TBD,N/A
K04037.01,CAND,215.956008,10.425,392.7,3.36,361,4.03,6163,4.27,1.313,300.94568,44.164688,TBD,N/A
K07645.01,CAND,2.00870696,4.87,53.5,0.55,1232,542.87,5341,4.526,0.759,294.3035,38.203011,TBD,N/A
K04109.01,CAND,0.655939788,1.318,73,1.48,2411,7986.43,4968,3.924,1.755,297.08301,43.679951,TBD,N/A
K04120.01,CAND,110.461746,12.46,331.2,1.93,420,7.34,6321,4.434,1.058,287.03952,46.481701,TBD,N/A
K04123.01,CAND,44.6226725,12.974,131.9,1.73,613,33.39,6198,4.252,1.239,296.3566,41.455391,TBD,N/A
K04053.01,CFRM,1.41975831,1.429,60.9,0.85,1700,1968.38,5925,4.394,1.035,290.91934,37.28717,Terrestrial,Kepler-1934 b
K04054.01,CFRM,169.135056,8.931,640.7,2.21,273,1.31,5171,4.545,0.801,286.60889,41.889339,Neptune-like,Kepler-1701 b
K04056.01,CFRM,3.951383138,1.0582,405.7,23.51,1083,324.78,5570,4.458,0.899,296.40375,39.722649,Neptune-like,Kepler-1935 b
K07673.01,CAND,80.769893,4.2,128.5,1.87,475,12.07,4965,3.961,1.708,292.13876,38.94154,TBD,N/A
K04060.01,CAND,225.26213,14.459,389.2,2.36,329,2.77,5799,4.276,1.191,290.83389,45.43565,TBD,N/A
K04129.01,CAND,2.31482311,2.127,58.6,0.69,1237,554.4,5240,4.428,0.923,295.52948,50.370399,TBD,N/A
K04341.01,CAND,10.778313,5.256,90.7,1.25,1067,306.18,6726,4.262,1.258,295.96259,42.200256,TBD,N/A
K04343.01,CFRM,27.2106807,10.515,99.4,1.73,725,65.27,5973,4.171,1.305,288.07648,43.958488,Super Earth,Kepler-1952 b
K04345.01,CAND,4.32710895,1.387,108.9,26.6,1397,900.23,5776,4.018,1.455,291.50122,47.74773,TBD,N/A
K02859.04,CAND,2.90512019,2.293,61.2,0.57,1075,314.96,5374,4.555,0.721,288.83136,47.551991,TBD,N/A
K04409.01,CFRM,14.2651545,3.601,66.3,1.06,853,125.45,5825,4.237,1.291,299.53479,40.477779,Super Earth,Kepler-1955 b
K04410.01,CAND,5.04404366,1.682,236.5,1.47,1078,318.92,6039,4.493,0.951,287.04236,41.752209,TBD,N/A
K04205.01,CAND,1.166960319,1.6823,97.8,0.88,1596,1534.29,5632,4.537,0.904,293.05408,38.54179,TBD,N/A
K04207.01,CAND,0.701944362,0.641,210.8,0.8,1227,535.78,4236,4.698,0.539,287.80502,46.00116,TBD,N/A
K04208.01,CAND,3.05772668,1.819,311,1.23,878,141.1,4483,4.57,0.731,298.98502,40.203709,TBD,N/A
K04209.01,CAND,9.9092109,2.552,942,2.35,693,54.54,5396,4.632,0.702,299.66617,43.619469,TBD,N/A
K04346.01,CAND,6.39269778,2.138,174.3,1.21,890,148.31,5248,4.416,0.943,282.76062,46.177841,TBD,N/A
K02585.03,CAND,7.87845756,3.912,44.1,0.78,989,226.11,5767,4.287,1.135,288.66077,43.36808,TBD,N/A
K00571.05,CFRM,129.945392,5.786,500.1,1.18,177,0.23,3751,4.8,0.443,298.65271,43.955021,Super Earth,Kepler-186 f
K02433.04,CAND,27.9040511,5.346,300.2,2.19,677,49.53,6325,4.409,1.112,294.33847,50.33654,TBD,N/A
K04351.01,CAND,0.644322147,0.893,1076.6,24.39,1592,1516.94,5136,4.648,0.612,287.75916,40.65704,TBD,N/A
K04353.01,CAND,17.8075656,1.643,1511,3.92,742,71.56,6194,4.45,0.981,294.42126,39.628471,TBD,N/A
K04418.01,CAND,333.03842,5.948,1260,3.19,247,0.89,5743,4.534,0.903,293.01489,38.012402,TBD,N/A
K02949.02,CAND,3.75030469,3.246,35.5,0.87,1374,842.07,5866,4.191,1.339,285.87579,41.332432,TBD,N/A
K04419.01,CAND,0.259819659,0.6513,231.5,1.22,1559,1410.9,3939,4.736,0.526,281.11646,43.28244,TBD,N/A
K04421.01,CAND,4.72693131,4.036,26.2,0.61,1203,495.58,5950,4.323,1.196,294.12488,46.67289,TBD,N/A
K04212.02,CAND,10.0989634,6.428,57,1.03,1016,251.36,6174,4.244,1.318,292.20471,37.221218,TBD,N/A
K04287.01,CAND,13.12297275,2.234,43.7,1.29,1030,266.05,6134,4.065,1.665,290.45831,48.661369,TBD,N/A
K02590.02,CAND,22.7909233,9.565,53.6,1.38,862,130.75,6311,4.116,1.642,293.50702,50.450119,TBD,N/A
K04357.01,CAND,0.681180633,0.8844,156.4,2.97,2782,14116.16,4939,3.635,2.377,292.90771,38.68309,TBD,N/A
K04426.01,CAND,369.13236,10.34,215.9,2.14,328,2.73,6282,4.151,1.449,294.45038,44.166779,TBD,N/A
K04288.02,CAND,9.08745206,3.786,35.1,0.73,980,217.95,5888,4.275,1.227,287.37125,39.603569,TBD,N/A
K04358.01,CAND,106.957467,7.006,539.6,2.4,394,5.7,6075,4.486,0.969,289.08313,42.70414,TBD,N/A
K04361.01,CAND,75.8781344,1.383,1054,3.39,417,7.18,5579,4.413,0.972,282.16364,43.510132,TBD,N/A
K04427.01,CAND,147.661729,6.207,1087.8,1.59,176,0.23,3788,4.774,0.49,295.11722,39.27409,TBD,N/A
K04428.01,CAND,13.00291716,3.058,225.3,1.28,710,60.11,5796,4.575,0.8,298.2934,40.239632,TBD,N/A
K02972.02,CAND,42.0292298,8.499,373.7,2.33,578,26.46,5850,4.297,1.217,290.73447,45.297791,TBD,N/A
K04430.01,CAND,0.505111993,0.4053,212.8,1.58,1886,2970.58,5262,4.59,0.783,288.59683,46.326038,TBD,N/A
K04296.01,CAND,2.49385348,1.414,46.9,0.59,1251,579.64,5615,4.477,0.85,282.63617,43.3661,TBD,N/A
K04363.01,CAND,18.22211768,2.044,2318,7.45,620,34.99,5162,4.411,0.958,294.36514,46.501759,TBD,N/A
K02722.05,CAND,16.5340022,4.063,89.2,1.17,819,106.21,6052,4.285,1.202,288.37024,43.35461,TBD,N/A
K04442.01,CAND,13.9482197,7.686,119.4,2.53,1063,301.8,5529,3.808,2.346,284.35312,48.740211,TBD,N/A
K04443.01,CAND,5.67577999,3.554,51.2,1.22,1357,802.11,6681,4.233,1.438,288.56729,41.09013,TBD,N/A
K04226.01,CAND,49.564693,8.54,113.5,1.63,588,28.19,5907,4.212,1.442,300.56241,46.037819,TBD,N/A
K04298.01,CAND,2.89494709,3.254,45.8,1.16,1919,3204.25,7087,4.137,1.684,291.54343,38.048759,TBD,N/A
K04366.01,CAND,0.762950224,1.133,187.3,1,1651,1763.73,5385,4.61,0.731,282.91397,47.970299,TBD,N/A
K04367.01,CAND,170.995748,3.88,477.1,4.9,463,10.86,6127,3.991,1.983,298.03305,39.883179,TBD,N/A
K04431.01,CAND,19.5650801,4.242,61.7,0.97,791,92.77,6180,4.294,1.235,283.72427,46.879112,TBD,N/A
K04302.01,CAND,5.53312006,3.486,53.1,1.05,1303,680.77,6170,4.15,1.425,293.68127,41.611969,TBD,N/A
K04303.01,CAND,200.721168,9.91,822.5,3.32,327,2.72,5566,4.275,1.17,288.90952,51.930561,TBD,N/A
K04372.01,CFRM,6.24564633,2.459,212,1.06,731,67.62,4858,4.622,0.707,287.96814,46.470612,Super Earth,Kepler-1953 b
K04435.01,CAND,10.8614163,6.02,64.8,1.01,899,154.68,6339,4.454,1.017,281.95569,44.261532,TBD,N/A
K03004.02,CAND,7.03965141,3.141,268.7,2.72,1171,445.49,5902,4.128,1.513,283.94244,41.4716,TBD,N/A
K07662.01,CAND,4.72519164,3.751,98.8,3.98,2250,6060.79,6655,3.49,3.831,295.1442,38.799831,TBD,N/A
K04235.01,CAND,66.6434565,2.385,277.3,2.99,476,12.17,5751,4.339,1.164,290.9227,48.180328,TBD,N/A
K04307.01,CAND,160.850075,9.427,428.1,3.41,413,6.87,5999,4.168,1.507,294.94983,38.60519,TBD,N/A
K02563.02,CAND,6.2614227,4.779,51.4,0.81,1146,407.58,6384,4.361,1.121,288.09564,40.365971,TBD,N/A
K04374.01,CAND,3.70386741,1.41,125.7,0.86,1012,247.2,5496,4.592,0.776,298.18341,48.44381,TBD,N/A
K04377.01,CAND,19.8751355,8.041,109,2.49,1061,299.47,6918,4.021,2.004,297.16089,40.042858,TBD,N/A
K04444.01,CFRM,5.94373492,1.847,301,1.14,674,48.82,4391,4.598,0.682,294.62097,49.89415,Super Earth,Kepler-1956 b
K04447.01,CFRM,2.18660188,1.585,122.3,0.98,1099,345.07,4904,4.535,0.772,293.71136,47.887539,Terrestrial,Kepler-1957 b
K03043.02,CAND,7.2929891,4.053,72.5,0.73,904,158.19,5959,4.549,0.856,293.43079,46.692089,TBD,N/A
K04242.01,CAND,145.786556,4.891,378,1.82,331,2.84,5578,4.44,0.95,285.66006,46.143471,TBD,N/A
K04310.01,CFRM,10.7769944,2.616,185.6,1.15,752,75.83,5455,4.457,0.852,287.08749,42.668671,Super Earth,Kepler-1950 b
K07668.01,CAND,2.5093344,1.833,184.3,1.47,1483,1143.04,6278,4.425,1.081,295.37204,38.897739,TBD,N/A
K02732.04,CAND,24.5607107,8.679,55.2,1.13,787,90.55,6170,4.192,1.499,289.92145,46.74456,TBD,N/A
K04245.01,CAND,24.6683831,8.556,109.2,1.76,788,91.32,6059,4.151,1.554,290.48007,51.965012,TBD,N/A
K04247.01,CAND,349.41047,15.02,652.8,2.41,253,0.97,5878,4.512,0.945,285.85315,44.57222,TBD,N/A
K04318.01,CAND,14.8162925,4.973,108.2,1.57,912,163.33,6356,4.27,1.325,293.93832,45.719021,TBD,N/A
K04382.02,CAND,3.98167088,3.609,44.7,0.79,1356,798.79,6484,4.377,1.173,288.16397,42.481079,TBD,N/A
K04386.01,CFRM,18.5010898,3.179,421.1,1.62,555,22.4,5242,4.613,0.734,284.9725,44.567551,Super Earth,Kepler-1702 b
K04178.01,CAND,7.016016,3.8,169,1.72,1138,396.43,6642,4.39,1.136,294.63516,40.322128,TBD,N/A
K00566.03,CAND,42.068554,5.723,186.3,1.32,541,20.28,6122,4.487,0.964,292.31601,42.626251,TBD,N/A
K04251.01,CAND,6.23968392,0.668,155.9,1.55,1060,299.03,5751,4.303,1.143,286.35339,44.961182,TBD,N/A
K04252.01,CFRM,15.5714121,2.294,173.5,0.72,399,5.98,3872,4.714,0.557,287.36404,47.78521,Super Earth,Kepler-1948 b
K02579.02,CAND,3.59645081,2.661,149.6,1.66,1327,732.82,5887,4.292,1.235,293.98871,46.718021,TBD,N/A
K04320.01,CFRM,20.6579443,8.798,98.2,1.27,728,66.27,5468,4.171,1.306,290.49988,40.287689,Neptune-like,Kepler-1951 b
K04389.01,CAND,16.3368863,3.597,225.9,1.27,642,40.22,5410,4.49,0.859,293.13098,38.159679,TBD,N/A
K04390.01,CAND,1.63668262,1.907,921.7,103.99,2562,10160.3,5234,3.436,3.739,300.92484,44.24968,TBD,N/A
K02744.02,CAND,11.615625,2.233,191.2,2.84,905,158.69,5332,4.083,1.453,293.52756,41.111439,TBD,N/A
K04184.01,CFRM,6.08003714,1.308,184,1.07,808,100.72,4991,4.513,0.804,281.89813,42.28587,Super Earth,Kepler-1945 b
K04185.01,CFRM,3.035206175,0.6182,696.9,3.59,1143,403.53,5505,4.503,0.873,282.33563,42.84544,Neptune-like,Kepler-1946 b
K04253.01,CAND,173.2578372,2.027,687,117.29,376,4.73,6392,4.399,1.162,283.72552,45.676849,TBD,N/A
K04257.01,CAND,41.6757509,10.848,142,2.1,690,53.72,5745,3.957,1.763,295.1333,43.631432,TBD,N/A
K04323.01,CAND,11.49589567,2.256,108.3,1.59,1057,295.46,6290,4.133,1.506,297.58194,40.5313,TBD,N/A
K04325.01,CAND,0.609926502,1.2529,133.8,1.12,2141,4990.14,5936,4.501,0.965,290.39172,43.440338,TBD,N/A
K07670.01,CAND,8.4795266,6.052,163.3,1.18,865,132.02,5841,4.52,0.931,290.81589,38.970921,TBD,N/A
K04391.01,CAND,49.4746966,10.46,291,1.62,498,14.5,5952,4.475,0.928,290.39505,41.78157,TBD,N/A
K04393.01,CAND,1.62888267,1.72,130.9,0.92,1327,733.67,5398,4.571,0.811,299.27658,44.291981,TBD,N/A
K04395.01,CAND,1.920062587,1.437,226.8,1.12,1189,471.84,5266,4.611,0.741,287.84,38.255489,TBD,N/A
K04188.01,CFRM,6.96352699,3.192,68.1,1.4,1298,669.78,6040,3.978,1.686,296.10406,42.34259,Super Earth,Kepler-1947 b
K04259.01,CAND,0.909127736,1.431,98.7,0.98,1818,2566.87,5486,4.389,0.996,290.01245,41.089989,TBD,N/A
K02579.03,CAND,10.30148508,3.903,162.7,1.6,934,180.14,5887,4.292,1.235,293.98871,46.718021,TBD,N/A
K04329.01,CAND,17.8007815,6.547,44.5,1.02,816,105.04,6240,4.326,1.252,289.01178,51.376019,TBD,N/A
K04331.01,CAND,1.717859841,0.908,66.3,1.45,2212,5645.85,6694,4.084,1.732,290.81366,40.254875,TBD,N/A
K04398.01,CAND,7.3422467,2.029,366.8,1.6,837,115.93,5573,4.562,0.839,295.21127,41.086971,TBD,N/A
K00647.02,CAND,8.1134681,4.961,40.5,0.92,1127,381.27,6011,4.123,1.409,291.19507,40.702702,TBD,N/A
K02420.02,CAND,5.4675514,3.283,87.2,1.07,1078,319.36,5557,4.288,1.151,288.58835,42.605659,TBD,N/A
K04264.01,CAND,0.888478095,1.5312,340.4,1.51,1665,1825.96,5553,4.577,0.806,291.06168,51.404781,TBD,N/A
K04333.01,CAND,309.25581,10.72,421.4,2.18,287,1.61,6060,4.419,1.057,291.7005,37.843731,TBD,N/A
K04334.01,CAND,2.44232399,1.921,229,1.1,1029,264.82,4849,4.561,0.738,291.51819,47.139301,TBD,N/A
K04399.01,CAND,42.1003351,1.0834,214,1.42,466,11.17,5595,4.57,0.82,282.12888,44.303162,TBD,N/A
K04403.01,CFRM,5.88350251,2.556,217.7,1.27,949,192.09,5840,4.553,0.849,298.00293,43.35461,Super Earth,Kepler-1954 b
K04198.01,CAND,1.182862515,2.928,22.3,1.26,2800,14544.87,6017,3.699,2.639,283.85291,45.48526,TBD,N/A
K04267.01,CFRM,2.20829637,2.841,87.9,1.36,1709,2016.25,6028,4.189,1.454,293.5423,43.0261,Neptune-like,Kepler-1949 b
K04269.01,CAND,26.6565737,4.954,163.4,4.15,903,157.45,5159,3.604,3.062,293.79684,45.160728,TBD,N/A
K04269.02,CAND,4.4408541,8.083,33.9,1.74,1642,1719.2,5159,3.604,3.062,293.79684,45.160728,TBD,N/A
K07679.01,CAND,1.8679943,1.087,73.4,0.7,1291,658.77,5487,4.568,0.815,290.88486,39.115921,TBD,N/A
K04405.01,CAND,8.9172863,4.468,196.3,1.39,931,177.84,6210,4.467,0.986,296.896,48.04726,TBD,N/A
K04407.01,CAND,1.33807075,1.425,20.2,0.6,2008,3844.97,6355,4.299,1.319,301.15656,44.379532,TBD,N/A
K04273.01,CAND,17.3731821,3.36,71.7,1.31,901,155.73,6180,4.155,1.54,294.20984,46.479969,TBD,N/A
K04274.01,CAND,1.97507424,2.61,130.5,1.08,1477,1122.82,6065,4.495,0.947,296.81158,41.51569,TBD,N/A
K04691.01,CAND,3.3879165,1.818,78.6,1.09,1336,750.6,5702,4.247,1.245,293.28015,46.560089,TBD,N/A
K04480.01,CAND,58.7488629,3.191,473.6,1.75,425,7.7,5574,4.505,0.805,290.77655,47.64843,TBD,N/A
K07685.01,CAND,64.740274,15.082,113.1,1.35,518,16.96,5999,4.263,1.177,286.77313,39.277531,TBD,N/A
K04482.01,CAND,5.38299284,3.336,35.1,0.78,1253,582.98,6256,4.27,1.293,299.09537,43.439098,TBD,N/A
K04549.01,CAND,2.0481582,1.899,183.3,1.16,1346,773.92,5799,4.548,0.86,292.02621,41.984119,TBD,N/A
K04550.01,CFRM,140.251943,6.576,567.7,1.84,271,1.28,4821,4.529,0.788,296.45776,41.266022,Neptune-like,Kepler-1653 b
K04551.01,CAND,14.7179342,5.844,132.3,1.25,784,89.3,6102,4.449,1.018,295.09201,49.940079,TBD,N/A
K03179.01,CFRM,5.99078221,1.699,69.9,1.03,987,223.93,5721,4.442,0.972,299.3028,41.441017,Super Earth,Kepler-1911 b
