ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
K07489.01,CAND,0.565713361,0.954,86.4,0.81,1917,3197.67,5220,4.48,0.881,286.03839,50.294441,TBD,N/A
K06960.01,CAND,4.88698386,1.127,125.4,1.2,1133,389.31,6152,4.464,1.009,289.60522,43.952831,TBD,N/A
K06966.01,CAND,8.47484677,2.067,217.8,1.35,780,87.55,5564,4.587,0.785,292.30338,43.98381,TBD,N/A
K07099.01,CAND,34.0357766,3.849,386.6,1.05,337,3.06,4367,4.739,0.501,300.30533,45.093418,TBD,N/A
K07231.02,CAND,4.74701479,2.464,3622,13333.5,1640,1708.72,6531,3.962,1.921,298.91162,46.586578,TBD,N/A
K07232.01,CAND,1.96682825,1.645,214.3,1.18,1283,638.54,5595,4.581,0.796,281.22937,46.681862,TBD,N/A
K07359.01,CAND,4.237447181,0.3792,350.1,2.26,1172,446.38,5993,4.425,0.993,291.90216,47.96207,TBD,N/A
K07360.01,CAND,4.0953585,44.35,226.8,7.76,1680,1884.15,6839,4.094,1.7,293.66928,47.906689,TBD,N/A
K07361.01,CAND,0.92623983,1.267,411.4,1.16,1208,504.34,4494,4.692,0.591,297.20752,47.972099,TBD,N/A
K00126.02,CAND,0.875197345,0.052,0,0.73,2518,9497.39,5855,3.999,1.796,297.47586,41.114288,TBD,N/A
K01106.03,CAND,13.2298203,3.566,157.8,1.5,856,126.84,6049,4.353,1.176,292.7131,38.358212,TBD,N/A
K01110.02,CAND,3.71840884,3.611,77.2,0.84,1184,464.19,5982,4.493,0.96,287.44409,38.088428,TBD,N/A
K06315.01,CAND,5.32737192,2.226,107.7,0.7,782,88.33,4905,4.593,0.679,294.34146,38.340519,TBD,N/A
