,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName,StellarSunLuminosity,DistanceFromStarCoreinAU,StarClassification,MainSequence,PlanetEarthSize,StellarSunSize
12616,917.01,CAND,26.4126931,2.956,4670.0,37.1984,716.0,43.7473,6070.0,3.65,2.63,49.816476,-59.400109,TBD,,3.205538834334379,0.010240353953292355,F,0,215606.27169869334,76.20015500449075
12617,921.01,CAND,5.1285835,2.171853,759.4037495,3.2052697,1159.235937,426.7842126,6055.5,4.38,1.14165,99.674204,-56.22054,TBD,,1.3782358573408422,0.0021497980934357206,F,0,137.93749780388592,6.232862586755971
12618,924.01,CAND,12.1273412,2.0111674,19344.37152,18.6682563,776.1585151,85.7674913,5682.0,4.45,0.993827,79.656888,-55.888562,TBD,,0.9300498750310787,0.003939415957240102,G,1,27252.09370662661,4.111695866890048
12619,929.01,CAND,5.830149,2.618,1310.0,2.70505,774.0,59.726099999999995,4451.0,4.57,0.72,45.907166,-39.930776,TBD,,0.25371924091726533,0.002465668558038237,K,1,82.91144807069699,1.5634575663561106
12620,930.01,CAND,4.90038,3.506,240.0,6.56819,1451.0,736.282,6504.0,3.32,4.18,54.308702,-44.472006,TBD,,6.7156637323005866,0.0036129541754148595,F,0,1186.9317058969846,305.9267511317786
12621,932.01,CAND,19.3105586,3.6917689,1304.516992,2.6135306,474.9321604,12.0239543,4444.0,4.55,0.734073,95.940941,-54.578024,TBD,,0.2570549560030255,0.005531327922714283,K,1,74.77757502636719,1.6569383922954861
12622,932.02,CAND,7.9854538,2.9302111,512.5516257,1.6452653,637.4752462,39.0278209,4444.0,4.55,0.734073,95.940941,-54.578024,TBD,,0.2570549560030255,0.0030701946673281225,K,1,18.65505027634271,1.6569383922954861
12623,933.01,CAND,88.9324842,8.4666585,4295.6686,13.1018367,525.5619282,18.0308662,5546.9,3.93,1.78672,92.305335,-55.403754,TBD,,1.5186174098058178,0.0109788276105056,G,0,9420.742986478113,23.892308055331384
12624,934.01,CAND,3.781737,2.192,18960.0,12.4301,915.0,116.842,4833.0,4.51712,0.87,75.350678,-56.141416,TBD,,0.4261641991009528,0.002284699382664638,K,1,8044.7486017194715,2.758330916222452
12625,936.01,CAND,7.936553,1.8565083,6358.920573,9.373421,913.7585397,164.7581083,4320.0,4.57232,1.0,111.036157,-78.442588,TBD,,0.3126982977739971,0.0016480843449567192,K,0,3449.713114376106,4.1887902047863905
12626,938.01,CAND,8.8073507,4.264,1700.0,4.0916,1073.0,220.735,5981.0,4.49,0.99,63.032344,-12.118836,TBD,,1.137420192793017,0.0027155946260617996,G,1,286.92482082589333,4.0643789469140295
12627,939.01,CAND,7.6107227,4.249,6400.0,12.4861,1156.0,297.144,6159.5,4.14,1.53,63.786841,-7.315748,TBD,,1.9772600829527816,0.003085947197578426,F,0,8153.968620651694,15.002474655288227
12628,941.01,CAND,8.5145626,3.78,3260.0,6.95626,1000.0,166.575,5920.0,4.32,1.18,78.300525,6.545915,TBD,,1.3012458697319298,0.0033436040684873963,G,0,1409.9899830000552,6.882316347750592
12629,943.01,CAND,12.35611,5.963,8020.0,13.4341,1218.0,366.445,6794.0,4.28,1.45,74.555144,8.980825,TBD,,2.773707764221926,0.003291289050164715,F,0,10155.804674835701,12.770050538066911
12630,945.01,CAND,0.9298045,1.203,720.0,4.60146,2234.0,4136.65,7019.0,4.19,1.65,80.455333,-36.673792,TBD,,3.5956337124749003,0.0011153300599840326,F,0,408.1084270311238,18.816569198676063
12631,947.01,CAND,7.31523,1.832,8225.0,17.8813,1031.0,187.784,6251.5,4.0,1.79,78.318822,4.809898,TBD,,2.4545987169478964,0.004325148593201091,F,0,23948.916947399302,24.024131824329377
