ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetType,PlanetName,StarSunDiameter,PlanetEarthVolume,StarClassification,MainSequence,PlanetEarthTemperature,StarSunMass
K01801.01,CFRM,0.03978767501711157,3.13,1355.9,Neptune-like,Kepler-955 b,0.37545605015673983,7.662031669528405e-05,G,0,2.603921568627451,0.8028111535914063
K01802.01,CFRM,0.014370068739219711,1.917,601.2,Neptune-like,Kepler-956 b,0.441815724137931,6.996839209472884e-05,G,1,4.141176470588236,1.023240026090709
K01870.01,CFRM,0.021805105872689936,1.5342,746.0,Neptune-like,Kepler-989 b,0.39728489028213165,6.01136889827952e-05,K,1,3.156862745098039,0.8331041152452248
K01938.01,CFRM,0.265339276386037,6.065,862.8,Neptune-like,Kepler-1020 b,0.34533225078369906,5.8389115938206816e-05,K,1,1.2745098039215685,0.8278839480696495
K01939.01,CFRM,0.03689179307323751,2.5995,729.6,Neptune-like,Kepler-1021 b,0.3204473730407523,4.828804524847483e-05,G,0,2.4862745098039216,0.810977144729647
K02018.01,CFRM,0.07527894318959616,4.858,483.3,Neptune-like,Kepler-1056 b,0.3977214670846395,5.198355891544995e-05,G,0,2.3137254901960786,0.7632261624737655
K02019.01,CFRM,0.038571565831622176,4.1847,889.4,Neptune-like,Kepler-1057 b,0.3907362382445141,6.55337756943587e-05,G,0,2.83921568627451,0.9891509347237787
K02020.01,CFRM,0.3038038893908282,12.831,1283.2,Neptune-like,Kepler-1058 b,0.238370934169279,5.198355891544995e-05,K,0,0.9372549019607843,0.5395128343879451
K01805.01,CFRM,0.019004403121149895,1.8899,825.0,Neptune-like,Kepler-319 c,0.3841875862068965,7.292480302830894e-05,G,0,3.4352941176470586,0.8761568069733673
K01805.02,CFRM,0.08701467953456538,3.856,570.2,Neptune-like,Kepler-319 d,0.3841875862068965,5.1244456182054926e-05,G,0,2.070588235294118,0.8761568069733673
K01875.01,CFRM,0.027151930677618067,3.2241,457.9,Neptune-like,Kepler-990 b,0.5269482006269592,7.021475967252718e-05,G,0,3.541176470588235,0.9333209948390317
K01876.01,CFRM,0.22596610212183438,4.8556,1895.4,Neptune-like,Kepler-991 b,0.25321454545454547,6.036005656059355e-05,K,0,1.0196078431372548,0.5854266413289189
K01940.01,CFRM,0.030101872443531828,1.5929,884.7,Neptune-like,Kepler-1022 b,0.25583400626959246,4.2128855803516304e-05,K,0,2.007843137254902,0.5746610037996075
