kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec
11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,36.445400100,151.6012500,4.00700,1.1223e+03,1.99,332.0,2.88,21.70,3,q1_q17_dr25_tce,4126.00,4.661,0.6150,286.738040,49.975750
11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.728732147,171.7932550,2.68300,5.2265e+03,6.02,1023.0,258.34,345.20,1,q1_q17_dr25_tce,5497.00,4.577,0.8090,290.785740,50.054119
11818800,K00777.01,,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,40.419503700,173.5646900,3.36200,6.2560e+03,7.51,467.0,11.29,36.90,1,q1_q17_dr25_tce,5446.00,4.507,0.7810,294.316860,50.080231
11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.243380573,170.6792330,1.11960,8.2170e+02,1.99,822.0,107.60,38.90,1,q1_q17_dr25_tce,4149.00,4.698,0.5640,285.176210,50.149818
11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,10.405998015,177.1974660,6.50360,1.4489e+04,11.23,833.0,113.94,745.20,1,q1_q17_dr25_tce,5746.00,4.393,0.9240,289.235530,50.241001
11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.337437946,171.7619820,1.99820,9.7120e+02,2.34,1070.0,311.16,82.40,1,q1_q17_dr25_tce,5005.00,4.595,0.7650,293.833310,50.230350
11918099,K00780.02,,CANDIDATE,CANDIDATE,0.9930,0,0,0,0,7.240661200,137.7554500,0.55800,5.5640e+02,19.45,734.0,68.63,13.70,2,q1_q17_dr25_tce,5005.00,4.595,0.7650,293.833310,50.230350
9579641,K00115.03,,CANDIDATE,CANDIDATE,0.8710,0,0,0,0,3.435916310,132.6624000,3.13300,2.3200e+01,0.55,1272.0,617.61,8.70,3,q1_q17_dr25_tce,5779.00,4.339,1.0870,287.887330,46.276241
11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.598222330,180.3953760,2.52370,2.8045e+03,2.65,396.0,5.82,71.00,1,q1_q17_dr25_tce,3688.00,4.790,0.4730,296.221950,50.287220
11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.575315881,173.6340440,4.30840,2.7933e+03,5.31,1015.0,251.38,221.10,1,q1_q17_dr25_tce,5992.00,4.415,0.9890,290.098050,50.321609
12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.275040844,169.9942170,7.53770,3.0010e+03,4.86,833.0,113.64,312.10,1,q1_q17_dr25_tce,5485.00,4.556,0.8670,295.455290,50.494560
12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,19.271538920,186.7709300,2.75940,1.2198e+03,1.93,393.0,5.66,37.10,1,q1_q17_dr25_tce,4077.00,4.702,0.5600,293.973360,50.531910
12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.065243170,136.2890600,1.36900,1.0533e+03,1.91,488.0,13.43,30.30,2,q1_q17_dr25_tce,4077.00,4.702,0.5600,293.973360,50.531910
12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.393565100,178.7472500,3.88960,9.1660e+02,2.66,677.0,49.68,35.80,1,q1_q17_dr25_tce,5557.00,4.603,0.7500,296.021330,50.567780
8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,43.844397210,151.9353800,6.80200,6.1520e+02,2.87,531.0,18.77,83.70,2,q1_q17_dr25_tce,5854.00,4.406,1.0120,300.863980,44.337551
3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,3.341913228,171.6394300,3.81300,7.2530e+02,21.55,1032.0,268.67,39.00,1,q1_q17_dr25_tce,5295.00,4.551,0.8110,292.315950,38.270290
3246984,K00799.01,,FALSE POSITIVE,FALSE POSITIVE,0.7730,0,0,1,0,1.626630225,169.8201710,2.11450,1.6206e+03,32.43,1547.0,1355.88,103.60,1,q1_q17_dr25_tce,5735.00,4.410,0.9730,294.368190,38.310280
3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.711504086,170.0341700,3.00990,8.3750e+02,3.12,1420.0,960.79,64.50,1,q1_q17_dr25_tce,6214.00,4.442,1.0760,291.653530,38.494659
3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.212037480,172.8178200,4.04910,9.5040e+02,3.32,1025.0,260.58,51.50,2,q1_q17_dr25_tce,6214.00,4.442,1.0760,291.653530,38.494659
12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,14.179818700,171.5023700,2.50500,4.5990e+02,1.88,711.0,60.35,11.20,,,5799.00,4.539,0.8780,291.044800,51.321671
12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.472379110,174.1621200,2.72450,1.1235e+03,2.59,751.0,75.44,47.60,1,q1_q17_dr25_tce,5354.00,4.587,0.7880,296.366520,51.319519
12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0.9890,0,0,0,0,60.418936900,181.1636700,5.03900,9.3130e+02,2.36,390.0,5.49,20.10,2,q1_q17_dr25_tce,5354.00,4.587,0.7880,296.366520,51.319519
12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.611904345,180.8922840,5.14970,6.1056e+03,7.40,753.0,76.15,277.20,1,q1_q17_dr25_tce,5795.00,4.508,0.9190,289.112210,51.737381
2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.433769925,170.4035360,1.88680,1.9763e+03,46.58,1920.0,3209.29,112.60,1,q1_q17_dr25_tce,6017.00,4.220,1.3390,290.843690,37.728828
2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,10.318723010,173.3154300,3.83600,8.7170e+02,28.59,876.0,139.26,38.20,1,q1_q17_dr25_tce,5927.00,4.409,1.0600,291.848910,37.713501
2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.539183147,169.6749400,2.42820,3.8210e+02,2.06,1332.0,743.09,38.90,1,q1_q17_dr25_tce,5519.00,4.350,1.0620,291.439970,37.905659
3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.770300385,170.5766200,2.08440,1.3040e+03,2.77,812.0,102.87,50.80,1,q1_q17_dr25_tce,5653.00,4.656,0.6790,290.870510,38.273628
3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,0.444291966,169.8654060,2.07920,1.0967e+04,27.51,1836.0,2706.26,299.70,1,q1_q17_dr25_tce,5255.00,4.678,0.6360,290.996890,38.284920
3115833,K00797.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,10.181584004,177.1418910,3.50890,5.7411e+03,7.73,812.0,102.91,183.60,1,q1_q17_dr25_tce,5988.00,4.541,0.8360,291.281950,38.241669
4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,20.060363360,147.4655400,3.32030,1.4947e+03,1.96,361.0,4.00,35.20,2,q1_q17_dr25_tce,3950.00,4.754,0.4930,286.079130,39.278320
4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,46.184203900,165.2372900,4.75800,1.3947e+03,1.83,273.0,1.32,26.00,3,q1_q17_dr25_tce,3950.00,4.754,0.4930,286.079130,39.278320
8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.9520,0,0,0,0,23.980085400,147.5370000,5.35100,1.0400e+02,1.31,649.0,41.94,17.10,4,q1_q17_dr25_tce,5854.00,4.406,1.0120,300.863980,44.337551
4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,7.825021680,136.5499500,2.18600,5.2080e+02,1.20,494.0,14.05,15.90,4,q1_q17_dr25_tce,3950.00,4.754,0.4930,286.079130,39.278320
4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.895936525,170.5275520,2.31110,8.5448e+03,7.34,1005.0,241.62,370.80,1,q1_q17_dr25_tce,5557.00,4.592,0.7740,294.655240,39.308361
4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,22.366464660,175.4586200,5.22800,9.8680e+02,2.32,536.0,19.45,32.10,1,q1_q17_dr25_tce,5395.00,4.615,0.7340,294.710630,39.521740
3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.625522174,170.8266564,2.38963,7.9690e+03,9.73,1579.0,1467.41,799.70,1,q1_q17_dr25_tce,5539.00,4.322,1.1060,293.871920,38.422939
3453214,K00802.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,19.620346923,181.8818190,2.00380,2.1725e+04,13.60,643.0,40.39,340.50,1,q1_q17_dr25_tce,5710.00,4.492,0.9050,293.816190,38.563568
3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,0,7.544039000,171.7982000,6.22200,3.2260e+02,17.47,838.0,116.46,14.20,2,q1_q17_dr25_tce,5657.00,4.567,0.8240,293.941160,38.601101
3641726,K00804.01,Kepler-1727 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.029306890,177.2042200,3.14490,1.0198e+03,2.57,757.0,77.75,53.90,1,q1_q17_dr25_tce,5349.00,4.526,0.8200,290.333620,38.728230
3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.0530,0,1,0,0,10.328035714,174.5810540,7.79150,1.6918e+04,13.28,843.0,119.31,636.80,1,q1_q17_dr25_tce,5627.00,4.359,1.0240,287.696750,38.886452
3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,143.206304700,154.2355200,8.93020,1.0566e+04,8.90,308.0,2.14,138.80,2,q1_q17_dr25_tce,5485.00,4.556,0.8670,285.283630,38.947281
8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,0.9500,0,0,0,0,6.164876000,135.6391600,3.26200,5.5800e+01,0.79,1021.0,256.35,14.40,3,q1_q17_dr25_tce,5854.00,4.406,1.0120,300.863980,44.337551
3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,0.7450,0,0,0,0,60.324942160,243.8925780,6.61880,2.0280e+04,12.19,411.0,6.77,347.20,1,q1_q17_dr25_tce,5485.00,4.556,0.8670,285.283630,38.947281
3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,,0,0,0,0,29.159861500,150.6992200,4.80300,4.8800e+02,1.91,524.0,17.85,11.60,,,5485.00,4.556,0.8670,285.283630,38.947281
3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.540397253,170.5047900,2.15410,8.1610e+02,25.69,1470.0,1105.68,38.80,1,q1_q17_dr25_tce,5663.00,4.530,0.9150,286.926390,38.921631
3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,2.990254430,171.9834000,5.41400,5.8920e+02,1.70,918.0,168.45,48.50,1,q1_q17_dr25_tce,4667.00,4.578,0.7310,287.748810,38.929550
3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.594745374,170.6483505,1.96040,1.5044e+04,11.30,1539.0,1329.42,1009.30,1,q1_q17_dr25_tce,5934.00,4.491,0.8930,285.213810,39.027481
3940418,K00810.01,Kepler-1728 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.783002698,170.5084340,2.33500,1.0087e+03,2.50,886.0,145.48,70.60,1,q1_q17_dr25_tce,5170.00,4.574,0.8070,287.093990,39.060719
