toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_dist,st_teff,st_logg,st_rad
1916.01,98545929,KP,07h16m25.09s,109.104521,-31d14m39.82s,-31.244395,-2.42,2.44,2459251.406,1.8881994,3.6806502,4431.610427,14.5851064,14536.98734,2800.517898,1458.83,8549,4.11,2.12128
1917.01,339522221,KP,19h46m45.23s,296.688442,-63d33m56.34s,-63.565649,19.406,-12.796,2458655.298,1.82069,3.049,12340,15.6593,2440.7,1958,514.555,6155,4.24,1.35
1918.01,308425348,FP,11h10m19.88s,167.582816,-58d58m58.75s,-58.982985,-10.042,4.282,2458571.791,3.39829,2.634,4340,7.06633,662.808,1413,477.322,6271,4.45,1.09
1919.01,102192004,KP,13h03m10.56s,195.794015,-41d23m05.5s,-41.384862,0.043,-5.784,2459307.593,4.2338315,2.1366747,7623.063812,19.3476057,1009.519307,1437.634237,410.149,6333.7,4.21,1.4607199
192.01,183537452,KP,23h51m31.01s,357.879198,-39d54m25.64s,-39.907121,-56.853,-88.865,2459089.962,3.9227152,2.6105933,11408.74679,6.7856957,121.7722998,847.2408293,87.5953,4800,4.53527,0.635603
1920.01,363851359,KP,13h22m32.37s,200.634864,-44d41m19.82s,-44.688839,-3.451,-7.915,2458599.238,2.54317,2.106,5740,10.1496,455.425,1286,748.585,5652,4.2,1.31
1921.01,112099249,KP,13h58m04.08s,209.51701,-30d20m53.35s,-30.348153,-4.362,-5.087,2458604.171,5.17958,4.524,7620,14.829,669.018,1416,663.231,6116,4.07,1.65
1922.01,112604564,KP,07h29m40.61s,112.419225,-29d56m16.5s,-29.937916,2.67,-5.024,2459233.317,4.5768651,3.5592795,10869.49031,19.1571223,1547.101386,1599.555979,878.521,6687,4.09,1.78295
1923.01,114299824,KP,07h37m08.01s,114.283382,-32d45m19.51s,-32.755419,-6.283,0.531,2459250.356,4.2041585,2.124,12080,12.1025,355.909,1210,609.838,6781,4.54,1.07
1924.01,371443216,KP,09h50m19.22s,147.580067,-66d06m50.13s,-66.113925,6.051,-15.398,2459336.096,2.8240662,3.9664741,8350.482503,17.539812,5568.904189,2203.24192,170.696,8004.2,4.2,1.83611
1925.01,118956453,KP,09h01m39.91s,135.416303,-20d43m13.33s,-20.720369,-9.984,1.128,2459279.602,2.3447752,1.814,15340,13.4487,320.327,1178,305.603,5515,4.39,1.04
1926.01,143143769,KP,05h58m23.73s,89.598895,-30d48m42.48s,-30.811799,-16.881,-7.371,2459175.373,1.3372349,1.7026098,1226.676056,3.0265786,886.9841113,1391.870113,280.555,5111.9,4.5,0.860256
1927.01,14344979,KP,10h55m09.32s,163.788852,-00d44m13.44s,-0.737066,-28.12,24.033,2459272.313,4.1117992,1.743,18550,13.432,122.084,926,325.377,5424.8,4.49,0.92
1928.01,207077681,KP,21h23m03.09s,320.762876,-40d02m54.38s,-40.048439,-3.337,-39.852,2459061.945,2.278575,2.159825,13638.95888,14.7731999,775.8848566,1346.074411,355.513,4879,4.5,1.21163
1929.01,157266693,KP,11h46m30.8s,176.628323,-33d51m36.27s,-33.860076,-35.023,-4.597,2459329.357,3.8537616,3.392,18650,14.7144,471.61,1298,585.77,5697,4.39,1.06
193.01,183985250,CP,23h54m40.53s,358.668877,-37d37m41.61s,-37.628224,247.615,-69.801,2458354.212,0.7920692,0.7334766,1528.759465,4.5111164,2681.593591,1835.346168,80.4373,5422,4.42223,0.980173
1930.01,160578764,KP,14h54m38.09s,223.658719,-38d44m40.37s,-38.744547,0.723,-1.53,2459335.339,2.8785209,2.4590521,8669.71933,13.7377421,1268.818233,1522.192586,508.885,6017,4.22,1.3485301
1931.01,162922904,KP,11h27m22.81s,171.845053,-44d05m19.33s,-44.088703,-8.427,-2.262,2459331.432,3.8186276,4.282,3240,11.3749,1200.24,1639,757.84,6090,3.88,2.03
1932.01,386259537,KP,08h29m32.94s,127.38723,-12d56m41.16s,-12.944768,-13.184,-3.821,2459228.937,5.6107737,6.3384834,6651.689917,18.3701736,1486.857896,1583.751778,627.066,6013.5,4.17,2.21327
1933.01,172598832,KP,06h42m17.1s,100.571247,-29d46m36.41s,-29.77678,-4.344,5.595,2459201.976,3.2633165,5.2814337,5011.572503,15.0902486,3163.376222,1912.746699,1342.29,6561,3.93,2.08347
1934.01,125739286,KP,14h20m29.46s,215.122762,-31d12m07.45s,-31.20207,-21.736,-0.858,2459338.019,4.5113229,4.6724386,10726.03317,18.3072568,1365.398437,1550.367301,356.391,6540.6,4.26,1.70757
1935.01,176685457,KP,09h27m40.95s,141.920643,-19d20m51.53s,-19.347648,-6.078,1.723,2459272.948,4.4352884,1.89,6410,11.2110231,196.663,1365.123239,609.128,6245,4.24,1.38
1936.01,178289267,KP,04h03m47.59s,60.948278,-19d03m24.54s,-19.056818,-12.664,-14.115,2459167.711,2.3506186,2.369,15940,12.801,570.233,1361,279.485,5593,4.46,0.97
1937.01,268301217,PC,07h45m28.97s,116.370721,-52d22m59.73s,-52.383259,-5.675,11.296,2459304.594,0.9466787,1.09,16490,14.6661,1220.35,1646,415.135,5707,4.39,1.07
1938.01,128449971,PC,14h37m33.45s,219.389377,-42d01m45.84s,-42.0294,-12.741,-18.953,2459346.075,12.7006348,2.5954859,5641.954516,12.1832475,132.0646441,864.6023087,245.295,6200.5,4.33,1.10563
1939.01,325172035,FP,11h49m58.76s,177.494824,-63d56m56.66s,-63.949071,-9.897,1.268,2459308.613,2.8970202,4.1502336,3080.923931,,631.5687933,1278.571193,3847.17,8862,4.1,
194.01,211438925,KP,00h20m38.53s,5.160562,-23d56m08.84s,-23.935789,-1.4,-18.3,2458356.565,4.8996422,3.3475359,10260.43655,16.2403328,410.1583489,1147.777319,211.877,5940,4.23158,1.5037
1940.01,7413227,PC,14h10m35.48s,212.647819,-27d59m35.06s,-27.993072,5.07,-2.616,2459359.557,3.4158625,1.8,2070,26.6801,1663.15,1779,264.051,5986,3.66,2.19
1941.01,167009792,FP,06h20m24.49s,95.102051,-66d24m01.68s,-66.400466,34.203,53.698,2458326.511,1.13305,1.073,100,2.16887,925.999,1536,153.896,5883.8,3.77,2.1
1942.01,308919449,FP,08h10m28.35s,122.61813,-65d51m08.56s,-65.852379,-8.549,-7.848,2459198.745,1.6563594,1.836,140,1.41812,1227.11,1648,130.335,5614.1,4.34,1.02
1943.01,382980571,PC,12h14m48.99s,183.704117,-63d05m12.18s,-63.086718,-91.335,-24.515,2459359.816,1.742564,1.72,740,2.86502,782.573,1473,129.892,5309.7,,0.95
1944.01,461080504,FP,10h38m19.21s,159.580056,-61d17m23.23s,-61.289786,-20.972,7.572,2459285.449,6.0988471,5.408818,8857.728415,24.9943945,1423.581832,1566.626104,525.922,7023.2,4.11,1.82219
1945.01,357536526,FP,09h10m39.09s,137.66287,-64d28m17.5s,-64.471528,-14.832,-21.967,2458545.661,1.57363,2.558,710,7.59717,18801.9,3262,279.155,5342.5,4.01,1.66
1946.01,127315102,FP,14h29m07.11s,217.279625,-43d21m43.12s,-43.361979,-33.265,-18.453,2459338.85,10.8458712,3.379,3120,21.6846,878.752,1516,230.033,6670.3,4.29,2.56
1947.01,460140752,FP,10h26m57.23s,156.738469,-60d39m54.81s,-60.665225,2.8,8.5,2458577.863,12.00654,3.055,2110,,158.34,988,,4990.7,,
1948.01,31268146,PC,05h52m17.12s,88.071315,-70d55m13.11s,-70.920308,-11.765,-40.92,2459386.098,3.647523,4.522,180,2.33037,11796.8,2903,219.482,5928,4.24,1.48
1949.01,334125713,PC,12h11m05.31s,182.772117,-52d40m19.91s,-52.672196,-13.264,-12.522,2458574.038,4.62109,4.203,12220,17.054,1846.27,1826,200.156,6531.7,4.29,1.45
195.01,230982885,KP,01h38m25.23s,24.605139,-55d46m19.2s,-55.772001,96.163,20.946,2458355.49,2.0727595,2.5898663,13514.11234,13.3344442,1176.481531,1493.709104,151.068,5640,4.43703,1.12805
1950.01,327663613,FP,12h39m14.42s,189.810101,-69d32m31.25s,-69.542013,-13.675,-2.364,2458599.57,1.41144,2.509,414.379,,20094.8,3316,362.573,9208,3.85,
1951.01,356590734,PC,11h28m37.49s,172.156226,-78d48m05.71s,-78.801587,-48.632,11.613,2459381.402,4.8294038,2.904,8550,19.6891,1625.33,1768,278.462,5877.5,4.18,1.96
1952.01,394509844,FP,10h19m59.09s,154.996219,-79d48m09.37s,-79.802603,-29.071,-12.333,2458599.314,6.89132,5.369,5940,11.3151,673.704,1419,241.981,5488,4.14,1.41
1953.01,242536549,FP,14h20m34.94s,215.145569,-41d58m59.94s,-41.983318,-6.986,-3.886,2459359.132,0.6923563,0.803,810,10.6207,14950.4,3080,253.478,6422.1,3.86,1.85
1954.01,466113537,PC,11h00m07.99s,165.033297,-59d58m42.27s,-59.978409,-22.482,1.368,2458572.598,4.90427,5.259,1600,7.86596,2027.06,1869,232.276,7119.5,4.14,1.98
1955.01,166184426,FP,13h44m25.22s,206.105083,-40d20m11.05s,-40.336403,150.065,71.874,2458600.451,16.3152,1.992,2500,2.23088,26.312,630,22.4731,3625,4.81,0.31
1956.01,334911765,FP,14h15m54.82s,213.978422,-62d54m23.91s,-62.906643,-59.783,-3.942,2458600.597,0.88958,1.844,1240,3.8492,4433.23,2273,191.877,5586.2,4.21,1.11
1957.01,302659412,PC,08h59m51.93s,134.966386,-67d57m20.15s,-67.955597,-19.821,-15.188,2459358.043,14.5189715,2.769,330,3.52677,62.5474,783,206.826,5844.8,4.13,1.79
